,wl,col
0,700,0.05389352475574774
1,701,0.053730351266170005
2,702,0.05356717777659227
3,703,0.053404004287014535
4,704,0.0532408307974368
5,705,0.053077657307859065
6,706,0.05291448381828133
7,707,0.052751310328703595
8,708,0.05258813683912586
9,709,0.052424963349548125
10,710,0.05226178985997039
11,711,0.052098616370392654
12,712,0.05193539592133169
13,713,0.05176852628982298
14,714,0.05160165665831427
15,715,0.05143478702680556
16,716,0.05126791739529685
17,717,0.05110104776378814
18,718,0.05093417813227943
19,719,0.05076730850077072
20,720,0.05060043886926201
21,721,0.0504335692377533
22,722,0.05026669960624459
23,723,0.05009982997473588
24,724,0.04993296034322717
25,725,0.04976609071171846
26,726,0.04959922108020975
27,727,0.04943235144870104
28,728,0.04926548181719233
29,729,0.04909861218568362
30,730,0.048963059695165144
31,731,0.04885515597043743
32,732,0.04874725224570972
33,733,0.048639348520982006
34,734,0.0485314447962543
35,735,0.048423541071526584
36,736,0.04831563734679887
37,737,0.04820773362207116
38,738,0.048099829897343446
39,739,0.04799192617261573
40,740,0.047884022447888024
41,741,0.04777611872316031
42,742,0.0476682149984326
43,743,0.047560311273704886
44,744,0.04745240754897717
45,745,0.04734450382424946
46,746,0.04723660009952175
47,747,0.04712869637479404
48,748,0.047020792650066326
49,749,0.04691288892533861
50,750,0.0468049852006109
51,751,0.04669708147588319
52,752,0.04658917775115548
53,753,0.046481274026427766
54,754,0.04637337030170005
55,755,0.04626546657697234
56,756,0.04615756285224463
57,757,0.04604965912751691
58,758,0.045941755402789206
59,759,0.04583385167806149
60,760,0.04572594795333378
61,761,0.04561804422860607
62,762,0.04531259943687976
63,763,0.044987821049748994
64,764,0.04466304266261823
65,765,0.04433826427548747
66,766,0.044013485888356706
67,767,0.04368870750122594
68,768,0.04336392911409518
69,769,0.04303915072696442
70,770,0.04271437233983366
71,771,0.0423895939527029
72,772,0.042064815565572136
73,773,0.04174003717844137
74,774,0.04141525879131061
75,775,0.04117297016981635
76,776,0.04106212939653786
77,777,0.04095128862325936
78,778,0.040840447849980865
79,779,0.04072960707670237
80,780,0.04061876630342388
81,781,0.04050792553014538
82,782,0.04039708475686688
83,783,0.040286243983588384
84,784,0.04017540321030989
85,785,0.040064562437031395
86,786,0.0399537216637529
87,787,0.03984288089047441
88,788,0.03973204011719591
89,789,0.03962119934391741
90,790,0.039510358570638913
91,791,0.03939951779736042
92,792,0.039288677024081925
93,793,0.03918675029258217
94,794,0.039085837492030664
95,795,0.038984924691479156
96,796,0.03888401189092764
97,797,0.03878309909037613
98,798,0.03868218628982462
99,799,0.038581273489273114
100,800,0.038480360688721606
101,801,0.0383794478881701
102,802,0.03827853508761859
103,803,0.03817762228706707
104,804,0.038076709486515564
105,805,0.037975796685964056
106,806,0.03787488388541255
107,807,0.03777397108486104
108,808,0.03767305828430953
109,809,0.03757214548375802
110,810,0.03747123268320651
111,811,0.037370319882655
112,812,0.03726940708210349
113,813,0.03716849428155198
114,814,0.037070473143730485
115,815,0.037048330565270675
116,816,0.03702618798681087
117,817,0.03700404540835106
118,818,0.03698190282989126
119,819,0.03695976025143145
120,820,0.03693761767297164
121,821,0.03691547509451184
122,822,0.03689333251605203
123,823,0.036871189937592225
124,824,0.036849047359132414
125,825,0.03682690478067261
126,826,0.0368047622022128
127,827,0.036782619623752996
128,828,0.03676047704529319
129,829,0.03673833446683338
130,830,0.03671619188837358
131,831,0.03669911769183347
132,832,0.036682123688469334
133,833,0.0366651296851052
134,834,0.03664813568174107
135,835,0.03663114167837694
136,836,0.0366141476750128
137,837,0.03659715367164867
138,838,0.03658015966828454
139,839,0.036563165664920405
140,840,0.03654617166155627
141,841,0.036529177658192136
142,842,0.036512183654828
143,843,0.03649518965146387
144,844,0.03647819564809974
145,845,0.036461201644735604
146,846,0.03644420764137147
147,847,0.03642721363800734
148,848,0.03641021963464321
149,849,0.036413612638813486
150,850,0.03643432466196474
151,851,0.03645503668511599
152,852,0.036475748708267246
153,853,0.0364964607314185
154,854,0.03651717275456975
155,855,0.036537884777721
156,856,0.03655859680087225
157,857,0.0365793088240235
158,858,0.03660002084717475
159,859,0.036620732870326
160,860,0.03664144489347725
161,861,0.036662156916628504
162,862,0.036682868939779754
163,863,0.03670358096293101
164,864,0.03677894822214999
165,865,0.036933690837318206
166,866,0.03708843345248641
167,867,0.03724317606765462
168,868,0.03739791868282283
169,869,0.037552661297991036
170,870,0.03770740391315924
171,871,0.03786214652832746
172,872,0.038016889143495665
173,873,0.03817163175866387
174,874,0.03832637437383208
175,875,0.03848111698900029
176,876,0.0387773955525897
177,877,0.03913479304327092
178,878,0.03949219053395215
179,879,0.03984958802463337
180,880,0.0402069855153146
181,881,0.04056438300599582
182,882,0.04092178049667704
183,883,0.041279177987358265
184,884,0.041636575478039485
185,885,0.04199397296872071
186,886,0.04235137045940193
187,887,0.04270876795008316
188,888,0.04306616544076438
189,889,0.04359944007719354
190,890,0.044318408807791386
191,891,0.04503737753838923
192,892,0.04575634626898708
193,893,0.046475314999584925
194,894,0.04719428373018277
195,895,0.04791325246078062
196,896,0.0486753282108706
197,897,0.04977290560547092
198,898,0.05087048300007124
199,899,0.051968060394671556
