,wl,mel
0,700,214.0
1,701,212.5
2,702,211.0
3,703,210.0
4,704,209.0
5,705,208.0
6,706,207.0
7,707,206.0
8,708,205.0
9,709,204.0
10,710,203.0
11,711,202.0
12,712,201.0
13,713,200.0
14,714,199.0
15,715,198.0
16,716,197.0
17,717,196.0
18,718,195.0
19,719,194.5
20,720,194.0
21,721,193.0
22,722,192.0
23,723,191.0
24,724,190.0
25,725,189.0
26,726,188.0
27,727,187.0
28,728,186.0
29,729,185.5
30,730,185.0
31,731,184.0
32,732,183.0
33,733,182.0
34,734,181.0
35,735,180.0
36,736,179.0
37,737,178.5
38,738,178.0
39,739,177.0
40,740,176.0
41,741,175.0
42,742,174.0
43,743,173.5
44,744,173.0
45,745,172.0
46,746,171.0
47,747,170.5
48,748,170.0
49,749,169.0
50,750,168.0
51,751,167.0
52,752,166.0
53,753,165.5
54,754,165.0
55,755,164.0
56,756,163.0
57,757,162.5
58,758,162.0
59,759,161.0
60,760,160.0
61,761,159.5
62,762,159.0
63,763,158.5
64,764,158.0
65,765,157.0
66,766,156.0
67,767,155.5
68,768,155.0
69,769,154.0
70,770,153.0
71,771,152.5
72,772,152.0
73,773,151.5
74,774,151.0
75,775,150.0
76,776,149.0
77,777,148.5
78,778,148.0
79,779,147.5
80,780,147.0
81,781,146.0
82,782,145.0
83,783,144.5
84,784,144.0
85,785,143.5
86,786,143.0
87,787,142.0
88,788,141.0
89,789,140.5
90,790,140.0
91,791,139.5
92,792,139.0
93,793,138.5
94,794,138.0
95,795,137.5
96,796,137.0
97,797,136.0
98,798,135.0
99,799,134.5
100,800,134.0
101,801,133.5
102,802,133.0
103,803,132.5
104,804,132.0
105,805,131.5
106,806,131.0
107,807,130.5
108,808,130.0
109,809,129.5
110,810,129.0
111,811,128.0
112,812,127.0
113,813,126.5
114,814,126.0
115,815,125.5
116,816,125.0
117,817,124.5
118,818,124.0
119,819,123.5
120,820,123.0
121,821,122.5
122,822,122.0
123,823,121.5
124,824,121.0
125,825,120.5
126,826,120.0
127,827,119.5
128,828,119.0
129,829,118.5
130,830,118.0
131,831,117.5
132,832,117.0
133,833,116.5
134,834,116.0
135,835,115.5
136,836,115.0
137,837,114.5
138,838,114.0
139,839,113.5
140,840,113.0
141,841,112.5
142,842,112.0
143,843,111.5
144,844,111.0
145,845,110.5
146,846,110.0
147,847,110.0
148,848,110.0
149,849,109.5
150,850,109.0
151,851,108.5
152,852,108.0
153,853,107.5
154,854,107.0
155,855,106.5
156,856,106.0
157,857,105.5
158,858,105.0
159,859,104.5
160,860,104.0
161,861,103.5
162,862,103.0
163,863,103.0
164,864,103.0
165,865,102.5
166,866,102.0
167,867,101.5
168,868,101.0
169,869,100.5
170,870,100.0
171,871,99.7
172,872,99.4
173,873,99.0
174,874,98.6
175,875,98.19999999999999
176,876,97.8
177,877,97.44999999999999
178,878,97.1
179,879,96.69999999999999
180,880,96.3
181,881,95.9
182,882,95.5
183,883,95.15
184,884,94.8
185,885,94.44999999999999
186,886,94.1
187,887,93.69999999999999
188,888,93.3
189,889,92.94999999999999
190,890,92.6
191,891,92.25
192,892,91.9
193,893,91.55000000000001
194,894,91.2
195,895,90.85
196,896,90.5
197,897,90.15
198,898,89.8
199,899,89.44999999999999
